,<TICKER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<RETURN>,<LOG_CLOSE>,<LOG_RETURN>
5731216,LLY.US,1982-05-20,2.58892,2.60349,2.57496,2.5920869787470884,2499297.5948225,1.0064573828740702,0.9524633345424067,0.0064366232977086995
5731217,LLY.US,1982-05-21,2.58892,2.59626,2.57496,2.5918115606996586,1892513.1378094,0.9998937466027614,0.9523570754998759,-0.00010625904253067951
5731218,LLY.US,1982-05-24,2.58892,2.60349,2.57496,2.598400732314051,2499297.5948225,1.00254230350474,0.9548961528178679,0.002539077317991995
5731219,LLY.US,1982-05-25,2.5819,2.58892,2.56763,2.5811349707594404,2562450.0089139,0.9933552352645644,0.9482292133480554,-0.006666939469812468
5731220,LLY.US,1982-05-26,2.57496,2.5819,2.56763,2.5763065061672465,1533864.439698,0.9981293250268222,0.9463567864772884,-0.001872426870767051
5731221,LLY.US,1982-05-27,2.5819,2.58892,2.56763,2.590960950857792,4324137.98622,1.005688160417041,0.9520288303964657,0.005672043919177383
5731222,LLY.US,1982-05-28,2.62469,2.63875,2.61062,2.645922530165086,7123440.0839422,1.0212128165378556,0.9730197871708363,0.020990956774370576
5731223,LLY.US,1982-06-01,2.63875,2.64579,2.63153,2.644347581785715,3457958.3270934,0.9994047639863164,0.9724243739338667,-0.0005954132369695461
5731224,LLY.US,1982-06-02,2.67383,2.70265,2.63875,2.7041365721471853,3845936.6937112,1.022610110249234,0.9947826643561415,0.022358290422274694
5731225,LLY.US,1982-06-03,2.70958,2.75922,2.66729,2.767852217694901,2851184.9740678,1.0235622883119115,1.0180716467690591,0.023288982412917828
5731226,LLY.US,1982-06-04,2.73058,2.75922,2.69532,2.6966247340951965,2323350.8768396,0.9742661536825027,0.9920008925021072,-0.026070754266951983
5731227,LLY.US,1982-06-07,2.70265,2.73832,2.65965,2.7336969420464143,2418090.0972375,1.0137476332848578,1.0056548843326705,0.013653991830563457
5731228,LLY.US,1982-06-08,2.75218,2.75922,2.73832,2.7548955223417155,3322617.8815367,1.0077545465882667,1.0133795189608183,0.00772463462814776
5731229,LLY.US,1982-06-09,2.72385,2.75218,2.69532,2.7101113708032836,4888063.0708207,0.9837437931220112,0.9969897302845563,-0.01638978867626204
5731230,LLY.US,1982-06-10,2.72385,2.75922,2.68839,2.7637340266307495,3633899.9978093,1.019786144733813,1.0165826735729073,0.01959294328835109
5731231,LLY.US,1982-06-11,2.67383,2.78091,2.56763,2.6245812049379285,20619179.920951,0.9496504293278679,0.9649213423395445,-0.05166133123336282
5731232,LLY.US,1982-06-14,2.60349,2.61726,2.5819,2.595218225367057,2880507.5764004,0.9888123181269349,0.9536706076358824,-0.011250734703662087
5731233,LLY.US,1982-06-15,2.56763,2.58892,2.5395,2.589056097428128,3157953.8241939,0.9976255838993819,0.9512933681391914,-0.0023772394966910084
5731234,LLY.US,1982-06-16,2.58892,2.60349,2.56763,2.594297178456823,2551175.4239011,1.002024321154687,0.9533156431167575,0.0020222749775661935
5731235,LLY.US,1982-06-17,2.51097,2.57496,2.44706,2.46297999578552,9679129.7834434,0.9493823669232008,0.9013719972156577,-0.05194364590109974
5731236,LLY.US,1982-06-18,2.4542,2.46846,2.44043,2.4750330176919078,3088027.9777954,1.0048936742998367,0.9062537364132491,0.004881739197591269
5731237,LLY.US,1982-06-21,2.50393,2.5395,2.46846,2.5199863533034486,5039187.3297234,1.0181627215839981,0.9242534861528945,0.01799974973964539
5731238,LLY.US,1982-06-22,2.52503,2.5395,2.51097,2.5421314376126887,3476006.3444132,1.0087877794576983,0.9330028778084599,0.008749391655565425
5731239,LLY.US,1982-06-23,2.55386,2.57496,2.52503,2.5761701499012375,2510574.1987422,1.0133898317706636,0.9463038580410652,0.013300980232605375
5731240,LLY.US,1982-06-24,2.58892,2.62469,2.5607,2.6186580490572773,2551175.4239011,1.0164926602995026,0.9626619915400242,0.016358133498958885
5731241,LLY.US,1982-06-25,2.60349,2.61726,2.58892,2.5983902407267303,1236114.0462382,0.9922602310225868,0.9548921151002168,-0.007769876439807415
5731242,LLY.US,1982-06-28,2.61726,2.63875,2.58892,2.624176290303798,2481248.5680493,1.0099238556137187,0.964767052629913,0.00987493752969623
5731243,LLY.US,1982-06-29,2.5819,2.61726,2.5395,2.595299486405121,1948910.2897551,0.9889958597654526,0.9537019189780578,-0.011065133651855226
5731244,LLY.US,1982-06-30,2.55386,2.59626,2.51097,2.5183497815628826,3394800.865735,0.9703503563864897,0.9236038384301873,-0.030098080547870457
5731245,LLY.US,1982-07-01,2.46846,2.50393,2.42597,2.4421650217218294,4127896.2076514,0.9697481420576243,0.8928849498679923,-0.030718888562195117
5731246,LLY.US,1982-07-02,2.44706,2.4542,2.42597,2.4520763267811536,2106805.962058,1.004058409227537,0.8969351459667928,0.00405019609880054
5731247,LLY.US,1982-07-06,2.44706,2.46846,2.42597,2.459275698567415,1459422.2987928,1.002936030868057,0.8998668751141536,0.0029317291473608975
5731248,LLY.US,1982-07-07,2.48253,2.5183,2.44706,2.4984584928852183,3541418.9246649,1.0159326562453441,0.9156739388505275,0.01580706373637375
5731249,LLY.US,1982-07-08,2.46133,2.48957,2.4327,2.478101840998878,9009190.8934321,0.9918523153599274,0.9074928804249498,-0.008181058425577672
5731250,LLY.US,1982-07-09,2.46846,2.48957,2.4542,2.4864423543548226,2118088.622698,1.0033656862756628,0.910852915455222,0.003360035030272315
5731251,LLY.US,1982-07-12,2.4754,2.49661,2.46133,2.4681000940115005,3169236.4848338,0.9926230904524301,0.9034486619514933,-0.007404253503728749
5731252,LLY.US,1982-07-13,2.4327,2.46846,2.39733,2.4241307667701952,7448260.9892015,0.9821849497319859,0.8854730134393721,-0.017975648512121165
5731253,LLY.US,1982-07-14,2.44043,2.46846,2.4116,2.476896467273165,3394800.865735,1.0217668540106326,0.9070063520047572,0.02153333856538511
5731254,LLY.US,1982-07-15,2.50393,2.5183,2.48957,2.502827458041281,3397056.9940816,1.0104691460102342,0.9174210760109629,0.010414724006205803
5731255,LLY.US,1982-07-16,2.56763,2.61726,2.51097,2.5961997172842475,5903117.9266771,1.0373067104338227,0.9540487285807676,0.036627652569804624
5731256,LLY.US,1982-07-19,2.61062,2.61726,2.59626,2.6187387329121647,5294085.4169447,1.0086815415154171,0.9626928022111467,0.008644073630379192
5731257,LLY.US,1982-07-20,2.62469,2.65283,2.59626,2.633730459989592,3703833.9198349,1.0057247891471617,0.9684012670255289,0.005708464814382185
5731258,LLY.US,1982-07-21,2.62469,2.66729,2.57496,2.5941175156664453,3207574.5154724,0.9849593779906759,0.9532463877464599,-0.01515487927906901
5731259,LLY.US,1982-07-22,2.56763,2.5819,2.5395,2.5418184499013377,3379013.0145756,0.9798393613823344,0.9328797500362861,-0.0203666377101737
5731260,LLY.US,1982-07-23,2.49661,2.5395,2.44706,2.459983556457187,11145322.486183,0.9678045875198807,0.9001546655549337,-0.03272508448135243
5731261,LLY.US,1982-07-26,2.46846,2.48253,2.4542,2.456253725617548,2030112.7400731,0.9984837984669254,0.8986373134251433,-0.0015173521297904872
5731262,LLY.US,1982-07-27,2.46846,2.48253,2.44706,2.462127922405917,3548185.2907981,1.0023915268716355,0.9010259851475945,0.002388671722451198
5731263,LLY.US,1982-07-28,2.42597,2.44706,2.39733,2.4111487733351105,3009079.6369173,0.979294678961688,0.880103303365434,-0.020922681782160474
5731264,LLY.US,1982-07-29,2.40497,2.41893,2.3904,2.423220077336376,3967746.4259087,1.005006453411238,0.8850972661605709,0.004993962795136967
5731265,LLY.US,1982-07-30,2.40497,2.41893,2.38357,2.4041120708870047,1371453.4823416,0.992114621932988,0.8771806340917621,-0.00791663206880883
5731266,LLY.US,1982-08-02,2.41893,2.44706,2.38357,2.4367006822267556,2237633.1414682,1.0135553628029192,0.8906449448703209,0.013464310778558794
5731267,LLY.US,1982-08-03,2.37584,2.41893,2.33364,2.3350593086030322,5149720.4580012,0.9582872962752079,0.8480372906282828,-0.042607654242038016
5731268,LLY.US,1982-08-04,2.37584,2.41893,2.33364,2.3345299136260445,5149720.4580012,0.9997732841409906,0.847810549065348,-0.00022674156293478036
5731269,LLY.US,1982-08-05,2.14917,2.17067,2.12808,2.1718607894632607,23247046.547931,0.9303203941772918,0.7755843067686697,-0.07222624229667818
5731270,LLY.US,1982-08-06,2.07815,2.12075,2.02882,2.0360793259731245,13150618.823897,0.9374815070335644,0.7110260596056772,-0.0645582471629926
5731271,LLY.US,1982-08-09,2.01455,2.05696,1.97919,2.0536691285428934,4292557.2366341,1.0086390556327476,0.7196280121346946,0.008601952529017442
5731272,LLY.US,1982-08-10,2.08548,2.10668,2.06388,2.0936316041638423,4103081.8241985,1.0194590623511504,0.7389001677273521,0.019272155592657474
5731273,LLY.US,1982-08-11,2.09242,2.10668,2.07815,2.0833964623960783,2379740.9626116,0.9951112976383198,0.7339994765712232,-0.004900691156128889
5731274,LLY.US,1982-08-12,2.09242,2.10668,2.07815,2.0896946720961505,2266960.7910677,1.003023049051753,0.7370179653984018,0.0030184888271786088
